Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buttonwood Rink,0.00,Square feet,100,"174,355.54412",kWh,,,"18,220.15436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonia Park Baseball,"1,765.00",Square feet,100,"30,945.50059",kWh,,,"3,233.80481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell Ave Playground,"1,453.00",Square feet,100,"250,706.50268",kWh,,,"26,198.82953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton Park,506.00,Square feet,100,"7,272.70029",kWh,,,759.99718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carr St Parkette,194.00,Square feet,100,9.35000,kWh,,,0.97708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassels Ave Playground,183.00,Square feet,100,"1,400.69885",kWh,,,142.46995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathedral Square Park,0.00,Square feet,100,"7,288.05346",kWh,,,761.60159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cawthra Playground,183.00,Square feet,100,53.54513,kWh,,,5.59547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Hall Park,0.00,Square feet,100,"4,544.50079",kWh,,,474.90033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedarvale Park,0.00,Square feet,100,871.19529,kWh,,,91.03991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Ski Chalet,"7,621.00",Square feet,100,"293,241.93844",kWh,,,"30,643.76749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Ski Hill,0.00,Square feet,100,"332,031.35429",kWh,,,"34,697.28578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre Island Buildings,"11,926.00",Square feet,100,"365,543.58581",kWh,,,"38,197.07961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaplin Parkette,0.00,Square feet,100,"15,512.41814",kWh,,,"1,621.04770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Maher Park,0.00,Square feet,100,239.92847,kWh,,,24.70017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlottetown Park,0.00,Square feet,100,"2,944.63000",kWh,,,307.71384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christie Pits,"29,536.00",Square feet,100,"16,109.23505",kWh,"11,868.78246",Cubic meter,"24,122.85564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Hall Nathan Phillips Sqr,"3,606.00",Square feet,100,"658,858.00323",kWh,,,"206,359.90140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clanton Park Baseball,"3,025.00",Square feet,100,"31,574.66853",kWh,0.92329,Cubic meter,"3,301.29846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close Avenue Parkette,0.00,Square feet,100,"13,634.26316",kWh,,,"1,424.78050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloverdale Park,0.00,Square feet,100,"5,879.57949",kWh,,,614.41606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clydesdale Park Tennis,"2,185.00",Square feet,100,"57,926.37272",kWh,,,"6,053.30595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleman Park,226.00,Square feet,100,"3,946.77618",kWh,,,412.43811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonel Danforth Park,"2,723.00",Square feet,100,"17,945.23918",kWh,,,"1,874.88540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonel Samuel Smith Park,0.00,Square feet,100,"51,966.00716",kWh,"35,688.60163",Cubic meter,"72,904.28158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Parkette,226.00,Square feet,100,"3,750.11553",kWh,,,391.88707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connorvale Park,0.00,Square feet,100,"27,238.20215",kWh,,,"2,846.39212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronation Park,"8,105.00",Square feet,100,"203,369.70293",kWh,,,"21,252.13396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosburn Park,0.00,Square feet,100,"7,539.00440",kWh,,,787.82596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cresthaven Park Tennis,"1,916.00",Square feet,100,"60,828.31492",kWh,,,"6,356.55891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland St Parkette,0.00,Square feet,100,"87,238.70206",kWh,,,"9,127.63482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David A. Balfour Park,0.00,Square feet,100,"21,085.65590",kWh,"3,114.02344",Cubic meter,"8,089.50180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentonia Park Ave Unit F,0.00,Square feet,100,"19,773.90670",kWh,,,"2,066.37325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentonia Park Clubhouse,"3,165.00",Square feet,100,"17,212.05118",kWh,,,"1,798.65935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentonia Park Golf Course,"9,214.00",Square feet,100,"67,177.81617",kWh,,,"7,022.25047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrydowns Park,743.00,Square feet,100,"3,277.49419",kWh,,,342.49814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieppe Park Ice Rink,"3,498.00",Square feet,100,"332,825.27011",kWh,"10,853.70129",Cubic meter,"55,304.08582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieppe Rd Unit Prk,0.00,Square feet,100,"8,020.12381",kWh,,,838.10294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon Rink,0.00,Square feet,100,"4,112.89000",kWh,,,429.79701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Valley Gc Service Bldg,"3,574.00",Square feet,100,"28,869.65292",kWh,"11,932.75044",Cubic meter,"25,577.25890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Valley Golf Course,"8,245.00",Square feet,100,"34,181.94547",kWh,"17,515.19059",Cubic meter,"36,686.70554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Summerville Olympic Pool,"27,050.00",Square feet,100,"251,737.54786",kWh,"38,650.77390",Cubic meter,"99,380.77045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downsview Dells,"1,270.00",Square feet,100,"17,099.43177",kWh,,,"1,786.89062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dufferin Grove Park,"4,682.00",Square feet,100,"295,468.37882",kWh,"12,363.26350",Cubic meter,"54,557.08021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dufferin King Park,0.00,Square feet,100,"1,365.16294",kWh,,,142.65953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Creek,0.00,Square feet,100,"13,841.16693",kWh,,,"1,446.40194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunlace Park Tennis,646.00,Square feet,100,"19,364.78353",kWh,,,"2,023.61988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.T. Seton Park,0.00,Square feet,100,"6,540.30659",kWh,,,683.46204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Bales Ski Tow,0.00,Square feet,100,"868,855.86882",kWh,,,"90,795.43829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earlscourt Park,"9,515.00",Square feet,100,"201,791.71674",kWh,,,"21,327.75583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Don Parkland,"1,141.00",Square feet,100,"27,267.63927",kWh,,,"2,849.46830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lynn Park,0.00,Square feet,100,"7,057.19625",kWh,,,726.81432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Point Park,"6,523.00",Square feet,100,"162,708.27943",kWh,"10,194.23546",Cubic meter,"36,276.51200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Toronto Athletic Fieldhouse,538.00,Square feet,100,"11,694.69596",kWh,,,"1,224.72759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eglinton Flats Sport Pavilions,"5,683.00",Square feet,100,"700,673.02958",kWh,"9,645.61424",Cubic meter,"91,221.60640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmcrest Park,0.00,Square feet,100,"50,304.82912",kWh,,,"5,256.85464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eringate Pool (outdoor),"1,098.00",Square feet,100,"26,441.58647",kWh,,,"2,763.14579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esther Shiner Stadium,"9,365.00",Square feet,100,"335,248.25853",kWh,,,"35,033.44302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etienne Brule Park Wr,441.00,Square feet,100,"27,070.89442",kWh,,,"2,828.90847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke Valley Park,0.00,Square feet,100,"7,214.83580",kWh,,,753.95034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairbank Park Pool,"3,264.00",Square feet,100,"102,524.05200",kWh,,,"10,701.97169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairhaven Pool (outdoor),"1,195.00",Square feet,100,"32,788.68847",kWh,"8,521.78695",Cubic meter,"19,537.93844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faywood Park Tennis,0.00,Square feet,100,"12,224.26059",kWh,,,"1,277.43523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firgrove Park,0.00,Square feet,100,924.72588,kWh,,,96.63385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagstaff Pool (outdoor htd),"1,098.00",Square feet,100,"44,159.61436",kWh,,,"4,614.67970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountainhead A.I.R,"1,927.00",Square feet,100,"37,438.05839",kWh,"4,625.97504",Cubic meter,"12,658.27042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Hamilton Playground,0.00,Square feet,100,"9,381.59881",kWh,,,980.37708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Ross Lord Park,"6,405.00",Square feet,100,"3,928.08971",kWh,,,410.48537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geary Ave Parkette W.Pool,0.00,Square feet,100,"3,636.36444",kWh,,,380.00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gihon Spring Pool,"1,873.00",Square feet,100,"27,307.90524",kWh,,,"2,853.67610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Caboto Pool/Rink,"55,400.00",Square feet,100,"603,875.44552",kWh,"33,989.09678",Cubic meter,"127,386.64327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glamorgan Park,0.00,Square feet,100,"25,855.41779",kWh,,,"2,701.89116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Rouge Park,"2,013.00",Square feet,100,"201,965.89238",kWh,,,"21,105.43575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendora Park,0.00,Square feet,100,"1,775.00000",kWh,,,185.48750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gracedale Park,0.00,Square feet,100,"29,140.20452",kWh,,,"3,045.15137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grange Park FH / WR,"1,679.00",Square feet,100,"12,435.90917",kWh,"10,950.96008",Cubic meter,"22,003.73332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graydon Hall Tennis,0.00,Square feet,100,"6,563.53676",kWh,,,685.88959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood Park,"21,130.00",Square feet,100,"207,449.45176",kWh,"37,206.68706",Cubic meter,"91,939.71710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greystone Park,0.00,Square feet,100,"4,098.13331",kWh,,,428.25493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwendolen Park Tennis,"1,916.00",Square feet,100,"55,298.64853",kWh,,,"5,778.25196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halbert Park,"3,150.00",Square feet,100,"9,375.68316",kWh,,,979.75889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanlan's Point Buildings,"7,524.00",Square feet,100,"352,714.00448",kWh,,,"36,858.59733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbour Square WR,829.00,Square feet,100,"58,991.97047",kWh,,,"6,164.66091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havenbrook Park Tennis,"1,916.00",Square feet,100,"53,586.27588",kWh,,,"5,599.76583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hickory Tree,0.00,Square feet,100,"17,440.71577",kWh,,,"1,822.55480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Park,0.00,Square feet,100,"415,179.88690",kWh,"31,221.61228",Cubic meter,"102,410.64136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Park Ice Rink,0.00,Square feet,100,"318,693.55635",kWh,,,"33,303.47874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Park Tennis Club,0.00,Square feet,100,"51,226.34618",kWh,"10,175.48696",Cubic meter,"24,591.20357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Creek Bwlng,0.00,Square feet,100,239.90907,kWh,,,25.07050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highview Park,0.00,Square feet,100,"41,305.25838",kWh,,,"4,316.40969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillcrest Park,"1,604.00",Square feet,100,"58,288.05038",kWh,438.88000,Cubic meter,"6,920.86069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinder Property,"1,012.00",Square feet,100,"334,270.64559",kWh,,,"34,931.28246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodgson School,"2,874.00",Square feet,100,"196,914.09699",kWh,"3,040.35484",Cubic meter,"26,325.70008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood Park Tennis,"1,668.00",Square feet,100,"24,150.16647",kWh,"3,772.76604",Cubic meter,"9,657.95858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Smith Park Wr,431.00,Square feet,100,"18,571.37852",kWh,,,"1,940.70906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTO Park,0.00,Square feet,100,"40,188.57853",kWh,,,"4,170.05828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Bay Park East,"2,551.00",Square feet,100,"127,500.91390",kWh,,,"13,323.84550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Bay Park West,"3,875.00",Square feet,100,"69,100.14943",kWh,"4,266.56313",Cubic meter,"15,306.89075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Bay Park West Trail,0.00,Square feet,100,"41,165.90039",kWh,,,"4,301.83659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Valley Gc Serv.bldg,"4,080.00",Square feet,100,"65,740.64235",kWh,,,"6,869.89713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Valley Golf Course,"4,327.00",Square feet,100,"67,976.88294",kWh,"44,226.20906",Cubic meter,"90,718.84921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Valley Rink,0.00,Square feet,100,"190,918.35667",kWh,"7,783.47059",Cubic meter,"34,666.61506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iroquois Fieldhouse,0.00,Square feet,100,"8,769.32485",kWh,,,916.39445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Goodlad Park,"2,271.00",Square feet,100,"82,650.70112",kWh,"3,259.51429",Cubic meter,"14,799.52398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Gardens,"2,411.00",Square feet,100,"50,936.27069",kWh,"4,734.98131",Cubic meter,"14,274.92380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Augustine Park,0.00,Square feet,100,"6,550.37405",kWh,,,684.51409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Healey Park,0.00,Square feet,100,"1,521.95699",kWh,,,159.04451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Ashbridge Park,0.00,Square feet,100,"9,088.99476",kWh,,,949.79995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keelesdale Park,0.00,Square feet,100,"238,150.07387",kWh,,,"24,875.30222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kew Gardens Outdoor Rink,797.00,Square feet,100,"313,158.65685",kWh,,,"32,727.23596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kew Gardens Park,"18,406.00",Square feet,100,"341,199.66297",kWh,"8,555.76512",Cubic meter,"51,769.89859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkwood Park T.C,0.00,Square feet,100,"14,444.71177",kWh,,,"1,509.47238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwanis Pool Change Rooms,"2,939.00",Square feet,100,"152,000.83084",kWh,,,"15,884.08682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob Hill Park-ODP,"3,255.00",Square feet,100,"20,813.11570",kWh,,,"2,174.97059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Front Boat Hse,0.00,Square feet,100,"14,449.04491",kWh,,,"1,509.92519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambton Kingsway Pool/Rink,"1,076.00",Square feet,100,"613,873.30412",kWh,,,"64,149.76028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langford Parkette,0.00,Square feet,100,908.51270,kWh,,,94.93958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanyard Park - Flood Lights,0.00,Square feet,100,"14,931.33000",kWh,,,"1,560.32398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wadsworth Park,0.00,Square feet,100,"5,073.74888",kWh,,,530.20676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaside Lawn Bowling Club,"2,207.00",Square feet,100,"8,412.94091",kWh,,,879.15232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaside Park Pool,"5,662.00",Square feet,100,"65,171.60791",kWh,"10,680.00208",Cubic meter,"27,002.34165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Linton Park,0.00,Square feet,100,"6,567.42441",kWh,,,686.29585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lillian Park,0.00,Square feet,100,"3,789.10335",kWh,,,395.96130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania Park,"1,582.00",Square feet,100,"9,564.71154",kWh,,,999.51236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Norway Park,"2,540.00",Square feet,100,"88,394.09184",kWh,,,"9,237.17797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Branch Park,0.00,Square feet,100,287.02465,kWh,,,29.98363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lora Hill Park,0.00,Square feet,100,"1,768.62849",kWh,,,184.82168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lytton Park,"4,306.00",Square feet,100,"24,828.32414",kWh,,,"2,594.55987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lytton Park Bowling Club,"3,229.00",Square feet,100,"2,128.39517",kWh,,,222.41729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacGregor Park,0.00,Square feet,100,"43,672.96559",kWh,,,"4,563.82490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainland Ferry Terminal,"6,135.00",Square feet,100,"614,778.15830",kWh,"8,204.45458",Cubic meter,"79,755.88090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta Park,0.00,Square feet,100,453.75555,kWh,,,47.41746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Park,0.00,Square feet,100,"1,407.65179",kWh,,,147.09961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Leaf A.I.R,"2,303.00",Square feet,100,"73,500.84083",kWh,,,"7,680.82474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Leaf Quay Park,0.00,Square feet,100,"59,330.15362",kWh,,,"6,200.00105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie Curtis Park,"3,014.00",Square feet,100,"55,640.45635",kWh,,,"5,814.42769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Grove Gardens Park,0.00,Square feet,100,"2,118.88721",kWh,,,221.42371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martingrove Rink (outdoor),"4,435.00",Square feet,100,"143,508.73137",kWh,"10,898.76471",Cubic meter,"35,602.16125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland Park Tennis Clubhouse,0.00,Square feet,100,"13,372.43004",kWh,,,"1,397.41894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryvale Park,"5,100.00",Square feet,100,"36,773.60130",kWh,"4,938.50598",Cubic meter,"13,179.71408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCleary Park,603.00,Square feet,100,189.85899,kWh,,,19.84026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McNicoll Park,0.00,Square feet,100,"20,715.86956",kWh,,,"2,164.80837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mel Lastman Square,0.00,Square feet,100,"339,949.13355",kWh,,,"35,524.68446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorial Park,0.00,Square feet,100,"21,463.05920",kWh,,,"2,242.88969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milliken Concession,"4,004.00",Square feet,100,"118,889.17250",kWh,,,"12,423.91853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millwood Park,0.00,Square feet,100,"14,103.99047",kWh,,,"1,473.86700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimico Memorial Park,0.00,Square feet,100,"6,228.26747",kWh,,,650.85395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moatfield Farm Park,0.00,Square feet,100,"25,272.14941",kWh,,,"2,640.93961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monarch Park,"22,787.00",Square feet,100,"28,632.05952",kWh,,,"2,992.05022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monarch Park Pool,0.00,Square feet,100,"450,550.88941",kWh,"43,479.77706",Cubic meter,"129,286.60841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorevale Park,"2,390.00",Square feet,100,"27,597.82821",kWh,"6,603.96615",Cubic meter,"15,369.60975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morningside Park,"4,392.00",Square feet,100,"67,801.09886",kWh,,,"7,253.43254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morse St Playground,0.00,Square feet,100,"1,503.51653",kWh,,,157.11748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
