Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #33,"3,132.00",Square feet,168,"26,929.60918",kWh,"7,222.65927",Cubic meter,"16,469.49879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #34,"13,939.00",Square feet,168,"55,930.08441",kWh,"32,066.51976",Cubic meter,"66,470.52187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #37,"4,413.00",Square feet,168,"43,038.10288",kWh,"7,054.91912",Cubic meter,"17,835.70232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #38,"5,102.00",Square feet,168,"66,358.73035",kWh,"18,218.85433",Cubic meter,"41,379.54523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #40,"12,798.00",Square feet,168,"151,175.26212",kWh,"30,488.64890",Cubic meter,"73,440.47769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #42,"6,997.00",Square feet,168,"123,939.43835",kWh,"19,398.22017",Cubic meter,"49,626.47011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #44,"2,799.00",Square feet,168,"36,758.59557",kWh,"10,243.00441",Cubic meter,"23,206.97394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #45,"11,496.00",Square feet,168,"70,205.22476",kWh,"17,534.33939",Cubic meter,"40,487.34147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #46,"1,572.00",Square feet,168,"23,705.78335",kWh,"5,712.15601",Cubic meter,"13,276.81074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #47,"1,787.00",Square feet,168,"33,277.22882",kWh,"2,893.78969",Cubic meter,"8,948.09059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke Animal Centre,"6,588.00",Square feet,70,"227,957.06687",kWh,"76,148.24763",Cubic meter,"167,789.44645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North York Animal Centre,"13,218.00",Square feet,70,"238,687.53127",kWh,"68,839.99279",Cubic meter,"154,768.91683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough Animal Centre,"12,831.00",Square feet,70,"343,218.16027",kWh,"69,469.21037",Cubic meter,"167,206.66253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Road Childcare Centre,"5,543.00",Square feet,100,"102,560.84647",kWh,"12,332.83271",Cubic meter,"34,034.39496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancaster Childcare Centre,"7,018.00",Square feet,100,"157,114.82180",kWh,"18,109.16310",Cubic meter,"50,656.17159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Childcare Centre,"6,706.00",Square feet,100,"51,557.21500",kWh,,,"22,840.87724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Kids Childcare Centre,"8,460.00",Square feet,100,"78,024.26200",kWh,"12,439.76873",Cubic meter,"31,670.41722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danforth Childcare Centre,"6,351.00",Square feet,100,"141,877.73439",kWh,"9,870.54286",Cubic meter,"33,487.73807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davisville Childcare Centre,"3,595.00",Square feet,100,"23,650.45500",kWh,,,"2,471.47255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollis Childcare Centre,"5,576.00",Square feet,100,"91,207.44520",kWh,"17,633.38614",Cubic meter,"42,881.15157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Ketchum Childcare Centre,"11,550.00",Square feet,100,"32,388.63451",kWh,"29,699.43133",Cubic meter,"59,535.66557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvern Childcare Centre,"6,501.00",Square feet,100,"310,596.10441",kWh,"7,275.67501",Cubic meter,"46,212.88053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Marks Childcare Centre,"4,004.00",Square feet,100,"12,899.17896",kWh,,,"1,347.96420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Berry Childcare Centre,"9,117.00",Square feet,100,"116,147.74907",kWh,"26,329.79032",Cubic meter,"61,633.65613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willowridge Childcare Centre,"4,844.00",Square feet,100,"100,189.01882",kWh,"18,044.18644",Cubic meter,"44,584.57853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbine Childcare Centre,"4,801.00",Square feet,100,"60,761.30073",kWh,"1,174.72727",Cubic meter,"8,570.52703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519 Church St Comm Ctr,"15,554.00",Square feet,100,"547,606.47473",kWh,"50,759.66223",Cubic meter,"153,187.78348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Comm Ctr & Pool,"20,688.00",Square feet,100,"505,607.78952",kWh,"148,773.98369",Cubic meter,"334,115.06430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury Community Center,"37,975.00",Square feet,100,"295,474.41730",kWh,"46,647.62279",Cubic meter,"119,074.78422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annette R.C,"20,774.00",Square feet,100,"401,500.26084",kWh,,,"41,956.77726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armour Height C.C,"19,773.00",Square feet,100,"217,383.92624",kWh,"30,910.25017",Cubic meter,"81,156.37383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banbury C.C.,"9,537.00",Square feet,100,"105,355.16750",kWh,"14,352.80882",Cubic meter,"38,145.42289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berner Trail C.C,"10,204.00",Square feet,100,"188,306.20180",kWh,"24,560.35908",Cubic meter,"66,112.47610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchmount C.C,"46,166.00",Square feet,100,"1,356,606.02871",kWh,"180,456.60363",Cubic meter,"482,941.45716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birkdale C.C,"11,733.00",Square feet,100,"223,043.24956",kWh,"8,350.52160",Cubic meter,"39,095.74117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrows Hall Community Complex,"43,185.00",Square feet,100,"911,248.08106",kWh,"72,869.75933",Cubic meter,"233,203.50015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmine Stefano Community Ctr,"57,867.00",Square feet,100,"231,489.30000",kWh,"117,226.55446",Cubic meter,"245,897.94885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecil Community Ctr,"5,769.00",Square feet,100,"89,133.88143",kWh,"20,561.34370",Cubic meter,"48,243.70588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Brook C.C,"14,951.00",Square feet,100,"150,909.64153",kWh,"9,525.74567",Cubic meter,"33,779.68949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapley C.C / Wilmington Park,"6,997.00",Square feet,100,"324,733.39912",kWh,"18,014.54103",Cubic meter,"67,993.41786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander Park C.C,"56,317.00",Square feet,100,"1,338,849.99323",kWh,"56,590.45853",Cubic meter,"246,901.27313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Centre 55,"8,999.00",Square feet,100,"67,267.31875",kWh,"9,869.85714",Cubic meter,"25,689.65321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curran Hall C.C,"2,508.00",Square feet,100,"40,430.11849",kWh,"4,287.75297",Cubic meter,"12,331.48892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davenport C.C,"2,282.00",Square feet,100,"1,435.07147",kWh,"6,233.78990",Cubic meter,"11,935.73647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Appleton Community Centre,"2,906.00",Square feet,100,"73,126.83150",kWh,"6,483.42188",Cubic meter,"19,916.96428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driftwood C.C,"25,015.00",Square feet,100,"305,697.65436",kWh,"49,138.48096",Cubic meter,"124,847.94371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Bales C.C & Senior,"21,657.00",Square feet,100,"348,310.12441",kWh,"36,307.54118",Cubic meter,"105,042.42565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Bales Park,"10,409.00",Square feet,100,"298,556.44382",kWh,,,"31,174.95766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
