Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
Power House C.C.,5737,Square feet,100,72602.15718,kWh,,,"6,972.7"
Ralph Thornton Community Ctr,17061,Square feet,100,200495.9508,kWh,38719.79496,Cubic meter,"92,460.3"
Regent Park North R.C,6168,Square feet,100,122921.9412,kWh,,,"11,805.4"
Scadding Court Community Ctr,46694,Square feet,100,769290.2455,kWh,117636.4181,Cubic meter,"296,289.2"
Scarborough Village C.C,58125,Square feet,100,1031400.64,kWh,64039.80116,Cubic meter,"220,131.1"
Scott Westney House,3046,Square feet,100,161627.7815,kWh,,,"15,522.7"
Seneca Village C.C,9408,Square feet,100,169068.6428,kWh,,,"16,237.4"
Sir Adam Beck,7341,Square feet,100,47213.53012,kWh,5377.99804,Cubic meter,"14,702.2"
St James Town C.C.,41904,Square feet,100,1097668.935,kWh,90322.05239,Cubic meter,"276,185.4"
St Lawrence C.C,46113,Square feet,100,918936.5806,kWh,216240.4947,Cubic meter,"497,084.8"
Stanley C.C,12895,Square feet,100,206509.5335,kWh,29115.0503,Cubic meter,"74,878.9"
Stephen Leacock Arena,41818,Square feet,100,,,70805.33606,Cubic meter,"133,866.5"
Sunnybrook Park,43701,Square feet,100,731253.3404,kWh,58113.88909,Cubic meter,"180,101.3"
Sunshine Center for Seniors,2250,Square feet,100,35127.56118,kWh,,,"3,373.7"
Tall Pines C.C,5188,Square feet,100,57909.41271,kWh,4217.729167,Cubic meter,"13,535.8"
Tam Heather C.C,28546,Square feet,100,875482.7366,kWh,100470.9148,Cubic meter,"274,034.4"
Thistletown C.C,44810,Square feet,100,351461.3871,kWh,105164.9068,Cubic meter,"232,582.0"
West Rouge C.C,24402,Square feet,100,223232.5406,kWh,36548.64062,Cubic meter,"90,539.1"
West Scarborough N.C,25198,Square feet,100,324898.5131,kWh,110601.4885,Cubic meter,"240,309.4"
Casa Loma,121374,Square feet,100,762407.8947,kWh,150166.629,Cubic Meter,"357,130.7"
Cedar Ridge Creative Centre,13110,Square feet,100,176132.8824,kWh,13320.83335,Cubic meter,"42,100.5"
Civic Garden Centre,36953,Square feet,100,449360.2471,kWh,57227.99082,Cubic meter,"151,353.3"
Colborne Lodge,8546,Square feet,100,126959.5829,kWh,13134.71371,Cubic meter,"37,026.0"
Don Valley Brickwork,186237,Square feet,100,178731.3591,kWh,22445.56944,Cubic meter,"59,601.6"
Edwards Gardens,10021,Square feet,100,55472.44877,kWh,33828.14629,Cubic meter,"69,284.0"
Gibson House Museum,8364,Square feet,100,98583.68735,kWh,,,"9,468.0"
Historic Fort York,22819,Square feet,100,254547.2287,kWh,11466.49294,Cubic meter,"46,125.6"
Lakeshore Assembly Hall,14596,Square feet,100,350459.5095,kWh,33633.74233,Cubic meter,"97,247.0"
Mackenzie House Museum,2573,Square feet,100,34084.54489,kWh,9242.69722,Cubic meter,"20,748.0"
Maple Leaf Cottage,2842,Square feet,100,11672.8969,kWh,2726.713715,Cubic meter,"6,276.3"
Martin Grove House / Bungalow,4790,Square feet,100,9643.476191,kWh,1621.399144,Cubic meter,"3,991.6"
Montgomery's Inn,7642,Square feet,100,256614.4828,kWh,4562.481212,Cubic meter,"33,271.2"
Neilson Pk Creative Arts,12346,Square feet,100,174891.0404,kWh,14574.23636,Cubic meter,"44,351.0"
Riverdale Farm,23713,Square feet,100,84973.86601,kWh,11747.69157,Cubic meter,"30,371.4"
Roundhouse Complex,94001,Square feet,100,59017.66581,kWh,,,"5,668.1"
Spandina House Museum,27588,Square feet,100,95631.80794,kWh,49556.82724,Cubic meter,"102,878.0"
St Lawrence Market North,27997,Square feet,100,410608.4996,kWh,62679.59305,Cubic meter,"157,938.6"
