Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
Oakwood Village,17287,Square feet,70,140984.6907,kWh,10713.91954,Cubic meter,"33,796.2"
Palmerston,8493,Square feet,70,213758.2994,kWh,,,"20,529.3"
Pape Danforth,8181,Square feet,70,148555.6818,kWh,7380.356303,Cubic meter,"28,220.8"
Parkdale,24079,Square feet,70,276788.4278,kWh,15673.25863,Cubic meter,"56,215.0"
Parliament,14639,Square feet,70,169248.7358,kWh,11157.15441,Cubic meter,"37,348.7"
Perth Dupont,3627,Square feet,70,26489.50028,kWh,4668.566165,Cubic meter,"11,370.6"
Pleasant View,6997,Square feet,70,174591.9663,kWh,9063.714483,Cubic meter,"33,903.9"
Rexdale,5091,Square feet,70,37190.75755,kWh,7254.609455,Cubic meter,"17,287.6"
Richview,47254,Square feet,70,602591.243,kWh,25041.54667,Cubic meter,"105,217.1"
Riverdale,9655,Square feet,70,181735.4,kWh,14848.54286,Cubic meter,"45,526.9"
Runnymede,10236,Square feet,70,131326.2068,kWh,15786.11794,Cubic meter,"42,458.2"
S Walter Stewart,25866,Square feet,70,393014.2581,kWh,19784.22449,Cubic meter,"75,149.7"
Sanderson,12701,Square feet,70,143096.2216,kWh,8334.054545,Cubic meter,"29,499.5"
Spadina Road,3950,Square feet,70,50040.20471,kWh,7545.054291,Cubic meter,"19,070.7"
St Clair Silverthorn,4585,Square feet,70,28800.52083,kWh,1776.151515,Cubic meter,"6,124.0"
St Lawrence,4833,Square feet,70,55059.92157,kWh,,,"5,288.0"
Steeles,5005,Square feet,70,83360.96429,kWh,2651.083982,Cubic meter,"13,018.2"
Taylor Memorial,5005,Square feet,70,54319.0548,kWh,13283.62353,Cubic meter,"30,331.2"
Thorncliffe,5005,Square feet,70,138455.7089,kWh,1435.290323,Cubic meter,"16,010.9"
Toronto Reference Library,416025,Square feet,70,7599706,kWh,390492.7848,Cubic meter,"1,468,152.0"
Victoria Village,5382,Square feet,70,63060.33826,kWh,8797.421372,Cubic meter,"22,689.0"
Weston,11948,Square feet,70,144199.5073,kWh,12902.25,Cubic meter,"38,242.3"
Woodside Square,9795,Square feet,70,131173.6095,kWh,15804.02852,Cubic meter,"42,477.4"
Woodview Park,6663,Square feet,70,48841.07143,kWh,7108.049092,Cubic meter,"18,129.4"
Wychwood,6383,Square feet,70,108671.3229,kWh,10270.72202,Cubic meter,"29,854.9"
York Woods,42173,Square feet,70,754136.0603,kWh,43293.99353,Cubic meter,"154,280.0"
Yorkville,9052,Square feet,70,192941.0968,kWh,13360.59656,Cubic meter,"43,790.0"
Alness Service Yard,25715,Square feet,70,170237.8511,kWh,38122.33476,Cubic meter,"88,424.8"
Bartonville Park,3606,Square feet,70,32772.41667,kWh,4597.644545,Cubic meter,"11,839.9"
Bentworth Park Yard,12981,Square feet,70,23449.40752,kWh,10842.87932,Cubic meter,"22,751.9"
Bering Yard,53798,Square feet,70,409335.7984,kWh,130816.8585,Cubic meter,"286,638.5"
Birchmount Parks Yard,15317,Square feet,70,125475.5508,kWh,35951.57294,Cubic meter,"80,021.7"
Brimley Parks Yard,2809,Square feet,70,29075.34875,kWh,4229.40625,Cubic meter,"10,788.6"
Castlefield Yard,36447,Square feet,70,462339.4004,kWh,34599.90437,Cubic meter,"109,818.6"
Centennial Pk Svc Bldg,1023,Square feet,70,33984.95382,kWh,7954.438182,Cubic meter,"18,302.8"
Central Equipment Yard,148198,Square feet,70,1289923.452,kWh,311103.6528,Cubic meter,"712,065.2"
Central Garage,39374,Square feet,70,187141.5623,kWh,68552.72563,Cubic meter,"147,580.7"
Central Water Services,32679,Square feet,70,1179602.67,kWh,27926.42,Cubic meter,"166,087.5"
Disco Yard,121406,Square feet,70,854347,kWh,229464,Cubic meter,"515,882.3"
Dufferin Maintenance Yard,31667,Square feet,70,324788.209,kWh,23700.80041,Cubic meter,"76,002.0"
Eastern & Booth Blocks,236645,Square feet,70,3092703.051,kWh,435411.6708,Cubic meter,"1,120,224.3"
Eastern Ave Yard / Office,84701,Square feet,70,1007733.084,kWh,364068.6527,Cubic meter,"785,100.7"
Eastern Ave Yard / Shop,9698,Square feet,70,98220.9256,kWh,24109.25714,Cubic meter,"55,014.8"
Eglinton Flats Service Bldg,5705,Square feet,70,57608.415,kWh,13928.25152,Cubic meter,"31,865.8"
Ellesmere Yard,138069,Square feet,70,1546069.525,kWh,252133.4243,Cubic meter,"625,174.8"
Emery Parks Yard,18998,Square feet,70,185049.3786,kWh,60880.32941,Cubic meter,"132,874.1"
Emery Works Yard,26404,Square feet,70,310894.7503,kWh,67599.89909,Cubic meter,"157,664.5"
Fire Dept Repair Shop,32604,Square feet,70,263583.136,kWh,,,"25,314.5"
Fire Services - East Command Offices,25898,Square feet,70,125178.5202,kWh,32193.32258,Cubic meter,"72,887.7"
Hamilton Street Yard,2756,Square feet,70,72249.37255,kWh,,,"6,938.8"
Health Materials Warehouse,22604,Square feet,70,6777.453488,kWh,20677.01579,Cubic meter,"39,743.4"
Ingram Works Yard,23907,Square feet,70,390152.1282,kWh,50222.23276,Cubic meter,"132,421.7"
King St Garage,83485,Square feet,70,313864.5275,kWh,230061.2955,Cubic meter,"465,103.6"
Kipling Maintenance Yard,27373,Square feet,70,220373.3,kWh,40999.44341,Cubic meter,"98,679.3"
Kipling Yard,11001,Square feet,70,525047.1111,kWh,14885.41746,Cubic meter,"78,568.3"
Maintenance Yard #1&2,38760,Square feet,70,776355.3479,kWh,83723.26985,Cubic meter,"232,850.6"
Maintenance Yard #3,4618,Square feet,70,83685.41,kWh,13383.19161,Cubic meter,"33,339.8"
Maintenance Yard #6,6135,Square feet,70,134711.7571,kWh,19334.64625,Cubic meter,"49,492.3"
Maintenance Yard #7,11862,Square feet,70,222858.7241,kWh,,,"21,403.4"
Marylin Bell Park Water Equipment Shed,700,Square feet,70,27995.62235,kWh,,,"2,688.7"
Monarch Park Serv Yard,13950,Square feet,70,103565.4449,kWh,,,"9,946.4"
Morningside Yard,14779,Square feet,70,353586.0719,kWh,45125.34073,Cubic meter,"119,273.6"
Nashdene Yard,24176,Square feet,70,244566.6091,kWh,46119.46247,Cubic meter,"110,682.9"
North District Serv Yard,32044,Square feet,70,293362.5806,kWh,44694.34364,Cubic meter,"112,674.9"
Northern Services Building,4101,Square feet,70,202275.2059,kWh,42565.99478,Cubic meter,"99,902.9"
Northline Parks and Garage,50041,Square feet,70,740831.439,kWh,146087.2013,Cubic meter,"347,345.9"
Old Eglinton Yard,66155,Square feet,70,477611.7798,kWh,,,"45,869.8"
Oriole Parks Yard,13046,Square feet,70,85626.52085,kWh,,,"8,223.6"
Oriole Yd- Signs and Markings,16264,Square feet,70,10783.72794,kWh,45685.03448,Cubic meter,"87,409.0"
Oriole Yd- Works,26759,Square feet,70,202337.3199,kWh,42934.10345,Cubic meter,"100,604.9"
Pharmacy Yard,1851,Square feet,70,172990.6862,kWh,4723.863088,Cubic meter,"25,545.1"
Property Operation Workshop,12034,Square feet,70,42060.82824,kWh,42536.88788,Cubic meter,"84,460.9"
Ramsden Yard,20247,Square feet,70,191865.7343,kWh,114612.0412,Cubic meter,"235,115.4"
Rockcliffe Yard,14047,Square feet,70,73372.77567,kWh,36224.82926,Cubic meter,"75,534.4"
Sixth St Garage,6997,Square feet,70,9817.193164,kWh,6896.657201,Cubic meter,"13,981.8"
Train Storage Building,30849,Square feet,70,193607.4525,kWh,48843.48387,Cubic meter,"110,938.9"
Wellington Yard & Office,10570,Square feet,70,91294.52813,kWh,,,"8,767.9"
Wellington Yard & Storage,22346,Square feet,70,33909.04219,kWh,,,"3,256.6"
Western Services Yard,4133,Square feet,70,25399.33148,kWh,10135.14353,Cubic meter,"21,601.1"
Winter Maintenance Depot,12152,Square feet,70,330168.0681,kWh,,,"31,709.3"
