Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
West Scarborough N.C,25198,Square feet,100,260028.7902,kWh,136864.1451,Cubic meter,"263,557"
Casa Loma,121374,Square feet,100,892899.1852,kWh,47445.36117,Cubic meter,"127,569"
Cedar Ridge Creative Centre,13110,Square feet,100,157855.5671,kWh,21072.84364,Cubic meter,"45,893"
Civic Garden Centre,36953,Square feet,100,395028.1666,kWh,58802.11667,Cubic meter,"126,012"
Colborne Lodge,7050,Square feet,100,156976.5442,kWh,11815.37543,Cubic meter,"28,820"
Don Valley Brickwork,19407,Square feet,100,168181.0517,kWh,22452.0805,Cubic meter,"48,897"
Edwards Gardens,10021,Square feet,100,71674.84117,kWh,38265.58294,Cubic meter,"73,641"
Gibson House Museum,8364,Square feet,100,113895.5836,kWh,0,Cubic meter,"5,137"
Historic Fort York,22819,Square feet,100,316227.6547,kWh,356,Cubic meter,"14,917"
Lakeshore Assembly Hall,14596,Square feet,100,343989.4248,kWh,47373.3697,Cubic meter,"102,681"
Mackenzie House Museum,2573,Square feet,100,36080.085,kWh,10905.55723,Cubic meter,"21,693"
Maple Leaf Cottage,2842,Square feet,100,10452.1642,kWh,426.171429,Cubic meter,"1,256"
Montgomery's Inn,7642,Square feet,100,316813.6113,kWh,5501.295239,Cubic meter,"24,411"
Neilson Pk Creative Arts,12346,Square feet,100,157155.1313,kWh,22797.14763,Cubic meter,"49,034"
Riverdale Farm,23713,Square feet,100,64273.20517,kWh,12179.82904,Cubic meter,"25,310"
Roundhouse Complex,94001,Square feet,100,176875.5918,kWh,0,Cubic meter,"7,977"
Spandina House Museum,27588,Square feet,100,109831.8573,kWh,60589.07993,Cubic meter,"116,437"
St Lawrence Market North,27997,Square feet,100,402339.2562,kWh,58273.32258,Cubic meter,"125,368"
St Lawrence Market South,99114,Square feet,100,5195697.182,kWh,200624.7528,Cubic meter,"603,475"
William Goodwin House,1744,Square feet,100,31036.98377,kWh,6028.823529,Cubic meter,"12,493"
Zion Methodist Church,2002,Square feet,100,18246.03918,kWh,3747.173949,Cubic meter,"7,718"
Zion School House,1582,Square feet,100,18803.04533,kWh,4634.243828,Cubic meter,"9,375"
Fire Academy,61214,Square feet,168,697601.4293,kWh,153953.3174,Cubic meter,"314,736"
Fire Museum And Storage,3272,Square feet,168,26574.3491,kWh,15573.1978,Cubic meter,"29,853"
Fire Station 111,5662,Square feet,168,91229.51245,kWh,24454.36515,Cubic meter,"49,110"
Fire Station 112,7018,Square feet,168,241948.042,kWh,37492.61412,Cubic meter,"79,898"
Fire Station 113,4833,Square feet,168,78310.71838,kWh,21408.3719,Cubic meter,"42,923"
Fire Station 114,8633,Square feet,168,191561.6964,kWh,44461.31647,Cubic meter,"90,448"
Fire Station 115,5985,Square feet,168,104501.3312,kWh,18699.45797,Cubic meter,"39,120"
Fire Station 116,11776,Square feet,168,174297.0038,kWh,28875.74957,Cubic meter,"60,992"
Fire Station 121,4219,Square feet,168,115299.5647,kWh,13722.11857,Cubic meter,"30,449"
