Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Oriole Arena & R.C,64347,Square feet,100,993439.6735,kWh,49982.15415,Cubic meter,"138,178"
Oriole Park WR,377,Square feet,100,10306.1764,kWh,0,Cubic meter,453
Oriole Parks Yard,13046,Square feet,70,91974.42603,kWh,0,Cubic meter,"4,047"
Oriole Yd- Signs and Markings,16264,Square feet,70,4928.91691,kWh,41824.15025,Cubic meter,"79,265"
Oriole Yd- Works,26759,Square feet,70,245943.9387,kWh,48657.3864,Cubic meter,"102,784"
Osler Playground,183,Square feet,100,6854.382613,kWh,0,Cubic meter,302
Osler Walkway,0,Square feet,100,17768.93759,kWh,0,Cubic meter,782
Other Traffic Control Signal Lig,0,Square feet,168,48721.58847,kWh,0,Cubic meter,"2,144"
Otter Creek Park,3035,Square feet,100,383086.331,kWh,0,Cubic meter,"16,856"
Ourland Community Ctr,9451,Square feet,100,233014.2319,kWh,22031.7666,Cubic meter,"51,893"
Ourland Pool (outdoor),1098,Square feet,100,46517.20841,kWh,5302.000001,Cubic meter,"12,068"
Palaise Royale,28503,Square feet,100,411822.8545,kWh,0,Cubic meter,"18,120"
Palmerston,8493,Square feet,70,219775.2189,kWh,0,Cubic meter,"9,670"
Pantry Park / Beaches Park,7373,Square feet,100,83894.9931,kWh,0,Cubic meter,"3,691"
Pantry Park Storm Pumping Station,78,Square feet,168,8493.749131,kWh,0,Cubic meter,374
Pape Ave Playground,0,Square feet,100,6926.013424,kWh,0,Cubic meter,305
Pape Avenue Multiuse Building,9365,Square feet,70,77675.37101,kWh,22191.71518,Cubic meter,"45,360"
Pape Danforth,8181,Square feet,70,145654.1054,kWh,8191.301471,Cubic meter,"21,890"
Park Lights - unknown name,0,Square feet,100,913617.9568,kWh,0,Cubic meter,"40,199"
Parkdale,24079,Square feet,70,295576.7398,kWh,15118.75576,Cubic meter,"41,580"
Parkdale Pumping Station,11227,Square feet,168,5698172.087,kWh,0,Cubic meter,"250,720"
Parklawn Pool/Rink,5210,Square feet,100,684883.7879,kWh,51190.27143,Cubic meter,"126,884"
Parks Various Locations,0,Square feet,100,1157941.031,kWh,0,Cubic meter,"50,949"
Parliament,14639,Square feet,70,145645.0053,kWh,12874.45287,Cubic meter,"30,741"
Pedestrian Crossovers,0,Square feet,168,2438646.918,kWh,0,Cubic meter,"107,300"
Pelmo Park Tennis,2573,Square feet,100,107638.4498,kWh,7936.972509,Cubic meter,"19,737"
Perth Ave Square,0,Square feet,100,2741.752555,kWh,0,Cubic meter,121
Perth Dupont,3627,Square feet,70,27259.84122,kWh,4558.303571,Cubic meter,"9,815"
Perth Square Park WR,560,Square feet,100,11976.21363,kWh,0,Cubic meter,527
Pharmacy Yard,1851,Square feet,70,30330.75301,kWh,6482.478294,Cubic meter,"13,586"
Phil White Arena,25941,Square feet,100,926496.0417,kWh,20305.91643,Cubic meter,"79,144"
Phin Ave Parkette,0,Square feet,100,6987.965428,kWh,0,Cubic meter,307
Pine Point Arena,32001,Square feet,100,491310.213,kWh,21599.6415,Cubic meter,"62,441"
Pine Point C.C & Pool,17265,Square feet,100,66806.71937,kWh,19339,Cubic meter,"39,490"
Pine Point Park,0,Square feet,100,53354.56558,kWh,0,Cubic meter,"2,348"
Pine Point Park Tennis,1755,Square feet,100,2868.141662,kWh,0,Cubic meter,126
Pleasant View,6997,Square feet,70,116172.5175,kWh,5196.372333,Cubic meter,"14,933"
Pleasantview Arena & R.C,30559,Square feet,100,810250.9571,kWh,106278.0971,Cubic meter,"236,517"
Police Academy,302735,Square feet,168,2939669.148,kWh,582209.6632,Cubic meter,"1,229,722"
Police Dog Service,9440,Square feet,168,153688.2112,kWh,7633.784479,Cubic meter,"21,190"
Police Garage,33024,Square feet,168,375455.572,kWh,76256.27303,Cubic meter,"160,644"
Police Headquarters,425000,Square feet,168,10072419.92,kWh,508068.7087,Cubic meter,"1,489,376"
Police Marine Hq,23035,Square feet,168,407128.371,kWh,32583.43582,Cubic meter,"79,496"
Polson Street Park,0,Square feet,100,35349.15805,kWh,0,Cubic meter,"1,555"
Poplar Plains Parkette,0,Square feet,100,1370.875214,kWh,0,Cubic meter,60
Port Union C.C,19978,Square feet,100,436357.9636,kWh,38938.52004,Cubic meter,"92,794"
Port Union Park,0,Square feet,168,1237.957512,kWh,0,Cubic meter,54
Port Union Sewage Pumping Station,0,Square feet,168,65002.05789,kWh,0,Cubic meter,"2,860"
Port Union Village Comm Park,15300,Square feet,100,26087.1534,kWh,0,Cubic meter,"1,148"
Power House C.C.,5737,Square feet,100,318966.6381,kWh,0,Cubic meter,"14,035"
Prairie Drive Park,0,Square feet,100,5161.119675,kWh,0,Cubic meter,227
Pricefield Rd Playground,0,Square feet,100,9887.094909,kWh,0,Cubic meter,435
Prince Of Wales Rink (outdoor),1970,Square feet,100,185860.293,kWh,8421.554839,Cubic meter,"24,095"
Princess Park,0,Square feet,100,15091.9388,kWh,0,Cubic meter,664
Property Bureau,43992,Square feet,168,380812.3972,kWh,33083.64326,Cubic meter,"79,284"
Property Dept Workshop,39170,Square feet,70,110924.2572,kWh,94831.09541,Cubic meter,"184,111"
Property Evidence Unit,287752,Square feet,168,3615951.335,kWh,188420.6167,Cubic meter,"515,217"
Property Maintenance Office,13487,Square feet,70,127427.1334,kWh,26395.70667,Cubic meter,"55,495"
Property Operation Workshop,12034,Square feet,70,49475.4108,kWh,44038.73121,Cubic meter,"85,410"
Public Health Building,6394,Square feet,70,86530.05021,kWh,11181.40408,Cubic meter,"24,940"
Public Health HQ,111385,Square feet,70,1813957.19,kWh,19320.62251,Cubic meter,"116,330"
Public Order,8342,Square feet,168,161979.9196,kWh,12888.71742,Cubic meter,"31,487"
Queen Street Office,25327,Square feet,70,324247.116,kWh,38461.94424,Cubic meter,"86,960"
Queen's Park Outdoor Ltg,0,Square feet,100,24684.504,kWh,0,Cubic meter,"1,086"
Queensway Park,0,Square feet,100,46942.50226,kWh,0,Cubic meter,"2,065"
Queensway Rink,0,Square feet,100,57898.88503,kWh,5215.2635,Cubic meter,"12,404"
R.C. Harris Filtration Plant,115368,Square feet,168,42773402.25,kWh,33512.35,Cubic meter,"1,945,368"
R.L. Clark Filtration Plant,401612,Square feet,168,54054084.13,kWh,66999.54998,Cubic meter,"2,505,009"
"Radio, Electronics and Telecom",18000,Square feet,168,119775.8538,kWh,657.03125,Cubic meter,"6,512"
Ralph Thornton Community Ctr,17061,Square feet,100,184580.6921,kWh,0,Cubic meter,"8,122"
Ramsden Park,3434,Square feet,100,323412.6791,kWh,4749.890909,Cubic meter,"23,207"
Ramsden Yard,20247,Square feet,70,150828.3324,kWh,92683.19983,Cubic meter,"181,808"
Ravina Gardens,194,Square feet,100,685.118187,kWh,0,Cubic meter,30
Rean Park,0,Square feet,100,4467.62989,kWh,0,Cubic meter,197
Redlands Sewage Pumping Station,0,Square feet,168,139414.0708,kWh,0,Cubic meter,"6,134"
Regan Park,0,Square feet,100,539.90445,kWh,0,Cubic meter,24
Regent Park Aquatic Centre,30505,Square feet,100,1110830.435,kWh,18909.3357,Cubic meter,"84,615"
Regent Park C.C,55004,Square feet,100,768352.801,kWh,3867.8125,Cubic meter,"41,118"
Regent Park Childcare Centre,15963,Square feet,100,317610.0294,kWh,0,Cubic meter,"13,975"
Regent Park North R.C,6168,Square feet,100,30711.21435,kWh,0,Cubic meter,"1,351"
Regent Park South Rink,2519,Square feet,100,338119.2533,kWh,0,Cubic meter,"14,877"
Rennie Park /Ice Rink,0,Square feet,100,569228.0121,kWh,0,Cubic meter,"25,046"
Rennie Park /Tennis,0,Square feet,100,126743.7897,kWh,0,Cubic meter,"5,577"
Rexdale,5091,Square feet,70,53273.3266,kWh,5642.497538,Cubic meter,"13,008"
Rexdale Community Hub,96369,Square feet,70,1181768.58,kWh,93098.01147,Cubic meter,"227,953"
Richmond Gardens Pool (outdoor),2594,Square feet,100,46889.72088,kWh,6790.907907,Cubic meter,"14,898"
Richview,47254,Square feet,70,651655.3928,kWh,27194.63667,Cubic meter,"80,071"
Richview Park,0,Square feet,100,9017.429163,kWh,0,Cubic meter,397
Richview Pumping Station,2357,Square feet,168,12591393.78,kWh,0,Cubic meter,"554,021"
Ridge Park,0,Square feet,100,2887.328833,kWh,0,Cubic meter,127
Rivercrest Rink,495,Square feet,100,174653.9888,kWh,0,Cubic meter,"7,685"
Riverdale,9655,Square feet,70,159510.504,kWh,17302.76786,Cubic meter,"39,721"
Riverdale Farm,23713,Square feet,100,65817.41714,kWh,10872.82313,Cubic meter,"23,446"
Riverdale Park East,23401,Square feet,100,254244.984,kWh,44366.93677,Cubic meter,"95,040"
Riverdale Park West,0,Square feet,100,317237.1371,kWh,8.093904,Cubic meter,"13,974"
Riverlea Greenhouse,17018,Square feet,168,106393.9354,kWh,89481.49615,Cubic meter,"173,801"
Riverside Sewage Pumping Station,0,Square feet,168,2129.069303,kWh,0,Cubic meter,94
Riverview Gdns Park,0,Square feet,100,25122.60861,kWh,0,Cubic meter,"1,105"
Riverwood Sewage Pumping Station,0,Square feet,168,20577.91525,kWh,0,Cubic meter,905
Robertson House,19795,Square feet,168,547002.1111,kWh,101519.773,Cubic meter,"215,940"
Rockcliffe GreenHouse,12271,Square feet,168,88146.45639,kWh,85214.55729,Cubic meter,"164,934"
Rockcliffe Yard,14047,Square feet,70,80195.92783,kWh,38242.92167,Cubic meter,"75,808"
Roding Arena & R.C,30494,Square feet,100,613878.0694,kWh,26532.81035,Cubic meter,"77,158"
Rosedale Park,4575,Square feet,100,205429.7026,kWh,1258.523557,Cubic meter,"11,418"
Rosegarden Park,0,Square feet,100,14713.10559,kWh,0,Cubic meter,647
Rosehill Pumping Station,1550,Square feet,168,10401488.17,kWh,0,Cubic meter,"457,665"
Rosehill Reservoir,2023,Square feet,168,68082.35674,kWh,0,Cubic meter,"2,996"
Roselawn Comm Tower,0,Square feet,168,44677.45507,kWh,0,Cubic meter,"1,966"
Roseneath Park,0,Square feet,100,0,kWh,0,Cubic meter,0
Rosethorn Park,0,Square feet,100,5581.822652,kWh,0,Cubic meter,246
Rosetta Mcclain Gardens,1098,Square feet,100,27337.95139,kWh,0,Cubic meter,"1,203"
Rotary Peace Park,1647,Square feet,100,8758.837007,kWh,2085.649223,Cubic meter,"4,327"
Rotary Pool (outdoor),3477,Square feet,100,33854.92008,kWh,26492,Cubic meter,"51,559"
Rotherham Ave 15,23002,Square feet,168,184520.0302,kWh,25245.98095,Cubic meter,"55,834"
Rouge Beach Park,6975,Square feet,100,19103.6625,kWh,0,Cubic meter,841
Rouge Water Tank & Valve House,2142,Square feet,168,238631.9374,kWh,0,Cubic meter,"10,500"
Roundhouse Complex,94001,Square feet,100,170724.1787,kWh,0,Cubic meter,"7,512"
Roundhouse Park,0,Square feet,100,24260.81605,kWh,0,Cubic meter,"1,067"
Rowntree Mills Park,1389,Square feet,100,75927.99794,kWh,0,Cubic meter,"3,341"
Roxborough Parkette,0,Square feet,100,18094.92987,kWh,0,Cubic meter,796
Royalcrest Rink (outdoor),2508,Square feet,100,240811.1262,kWh,0,Cubic meter,"10,596"
Roywood A.I.R,2303,Square feet,100,99725.42616,kWh,0,Cubic meter,"4,388"
RT Commuter Lot,97,Square feet,168,49558.40328,kWh,0,Cubic meter,"2,181"
Ruddington Park,0,Square feet,100,2863.776,kWh,0,Cubic meter,126
Runnymede,12034,Square feet,70,146071.4415,kWh,18152.44559,Cubic meter,"40,735"
Runnymede Park,0,Square feet,100,34890.79388,kWh,0,Cubic meter,"1,535"
Ryerson Community Park,1421,Square feet,100,153703.6122,kWh,0,Cubic meter,"6,763"
S Walter Stewart,25847,Square feet,70,409729.1358,kWh,23375.94146,Cubic meter,"62,209"
S.H Armstrong R.C,18277,Square feet,100,230815.6291,kWh,27198.17546,Cubic meter,"61,560"
SADRA Park,0,Square feet,100,456.956776,kWh,0,Cubic meter,20
Salem Parkette,0,Square feet,100,42941.01978,kWh,0,Cubic meter,"1,889"
Sanderson,12701,Square feet,70,170514.139,kWh,22519.69194,Cubic meter,"50,065"
Scadding Cabin,431,Square feet,100,9596.138025,kWh,0,Cubic meter,422
Scadding Court Community Ctr,46694,Square feet,100,934564.57,kWh,134060.408,Cubic meter,"294,495"
Scarborough Animal Centre,12831,Square feet,168,341852.6769,kWh,61025.87325,Cubic meter,"130,380"
Scarborough Arena Gardens,38320,Square feet,100,740321.1857,kWh,57465.94364,Cubic meter,"141,185"
Scarborough Bluffs,97,Square feet,100,15720.51891,kWh,0,Cubic meter,692
Scarborough Civic Centre,372861,Square feet,70,6183959.803,kWh,239475.9387,Cubic meter,"724,704"
Scarborough Pumping Station,9160,Square feet,168,4698092.652,kWh,0,Cubic meter,"206,716"
Scarborough Transfer Station,96595,Square feet,70,1443377.479,kWh,70089.40267,Cubic meter,"195,978"
Scarborough Village C.C,58125,Square feet,100,1139055.456,kWh,94771.8662,Cubic meter,"229,237"
Scarborough Village Fieldhouse,0,Square feet,100,8466.814,kWh,0,Cubic meter,373
Scarborough West Office,19999,Square feet,70,492873.1843,kWh,38777.47655,Cubic meter,"94,976"
Scarlett Woods Golf Course,3348,Square feet,100,39676.08838,kWh,9231.064829,Cubic meter,"19,192"
Scott Westney House,3046,Square feet,100,129554.5886,kWh,0,Cubic meter,"5,700"
Seasons Park,0,Square feet,100,5437.928972,kWh,0,Cubic meter,239
Seaton House,97995,Square feet,168,1425407.196,kWh,427250.1984,Cubic meter,"870,221"
Seneca Hill Park,0,Square feet,100,10432.43029,kWh,0,Cubic meter,459
Seneca Village C.C,9408,Square feet,100,202076.6508,kWh,0,Cubic meter,"8,891"
Sentinel Park Baseball,2443,Square feet,100,16933.64,kWh,0,Cubic meter,745
Serena Gundy Park,0,Square feet,100,20240.38225,kWh,0,Cubic meter,891
Seven Oaks,133311,Square feet,168,2797144.403,kWh,413194.185,Cubic meter,"904,011"
Seven Oaks Tennis,0,Square feet,100,6968.753534,kWh,0,Cubic meter,307
Sewells Rd Sewage Pumping Station,0,Square feet,168,67197.04229,kWh,0,Cubic meter,"2,957"
Sherbourne Common North Park,0,Square feet,100,10839.17944,kWh,0,Cubic meter,477
Sherwood Park,5909,Square feet,100,106154.2942,kWh,0,Cubic meter,"4,671"
Sidney Belsey Cres,0,Square feet,70,6921.615533,kWh,0,Cubic meter,305
Signs & Flashing Beacons,0,Square feet,168,17970.32886,kWh,0,Cubic meter,791
Silver Birch Ave Sewage Pumping Station,0,Square feet,168,285.424158,kWh,0,Cubic meter,13
Sir Adam Beck,0,Square feet,100,1292.867954,kWh,0,Cubic meter,"19,875"
Sir Adam Beck,0,Square feet,100,1292.867954,kWh,0,Cubic meter,"19,875"
Sir Adam Beck Rink,2196,Square feet,100,227667.8746,kWh,7704.130588,Cubic meter,"24,578"
Sir Winston Churchill Pk,0,Square feet,100,60281.79307,kWh,5704.887759,Cubic meter,"13,435"
Sisken Trail Park,0,Square feet,100,599.043278,kWh,0,Cubic meter,26
Sixth St Garage,6997,Square feet,70,8365.80585,kWh,9077.779886,Cubic meter,"17,525"
Smithfield Pool (outdoor),850,Square feet,100,24029.0796,kWh,8408.202457,Cubic meter,"16,949"
Smythe Park,3000,Square feet,100,74084.71302,kWh,13414,Cubic meter,"28,612"
Sony Centre,173084,Square feet,100,2420073.906,kWh,0,Cubic meter,"440,002"
Spadina Marina Museum,17922,Square feet,100,74893.968,kWh,0,Cubic meter,"3,295"
Spadina Rd 35,3552,Square feet,100,11353.55131,kWh,2818.881613,Cubic meter,"5,827"
Spadina Road,3950,Square feet,70,66072.71329,kWh,6962.698198,Cubic meter,"16,067"
Spadina Road Parkette,0,Square feet,100,5940.463603,kWh,0,Cubic meter,261
Spadina St Clair Reservoir,678,Square feet,168,149883.2094,kWh,0,Cubic meter,"6,595"
Spandina House Museum,27588,Square feet,100,88921.56365,kWh,55982.60197,Cubic meter,"109,720"
Spenvalley Park T.C,0,Square feet,100,115.1736,kWh,0,Cubic meter,5
St Albans Boys Club,23293,Square feet,100,291861.3641,kWh,78046.65814,Cubic meter,"160,350"
St Andrew's Playground,194,Square feet,100,9713.178602,kWh,0,Cubic meter,427
St Clair Comm Tower,0,Square feet,168,67061.49932,kWh,0,Cubic meter,"2,951"
St Clair Gardens - ele,0,Square feet,100,2981.551626,kWh,0,Cubic meter,131
St Clair Silverthorn,4585,Square feet,70,28910.64637,kWh,1792.462997,Cubic meter,"4,660"
St Hilda Parkette,26350,Square feet,100,1328.200183,kWh,0,Cubic meter,58
St James Town,0,Square feet,70,1002.424233,kWh,0,Cubic meter,44
St James Town C.C.,41904,Square feet,100,960132.2574,kWh,171487.0024,Cubic meter,"366,356"
St Jamestown West Park,0,Square feet,100,1827.833159,kWh,0,Cubic meter,80
St Lawrence,4833,Square feet,70,42611.26033,kWh,0,Cubic meter,"1,875"
St Lawrence C.C,46113,Square feet,100,931605.2903,kWh,274280.0015,Cubic meter,"559,380"
St Lawrence Centre,80729,Square feet,100,1840837.589,kWh,0,Cubic meter,"346,946"
St Lawrence Hall,55413,Square feet,70,1044663.314,kWh,60073.7156,Cubic meter,"159,505"
St Lawrence Market North,27997,Square feet,100,133912.5083,kWh,33399.47059,Cubic meter,"69,017"
St Lawrence Market South,99114,Square feet,100,5230568.445,kWh,185002.5043,Cubic meter,"579,800"
St. Albans Pumping Station,3240,Square feet,168,4817436.235,kWh,0,Cubic meter,"211,967"
St. Marks Childcare Centre,4004,Square feet,100,10531.51309,kWh,0,Cubic meter,463
Stan Wadlow Clubhouse,10323,Square feet,100,89096.62003,kWh,27371.57274,Cubic meter,"55,653"
Stan Wadlow Park,9982,Square feet,100,1349.098497,kWh,0,Cubic meter,59
Stanley C.C,12895,Square feet,100,196748.9525,kWh,23020.9675,Cubic meter,"52,167"
Stanley Park,4855,Square feet,100,14340.21642,kWh,4530.213375,Cubic meter,"9,193"
Stanley Park - Baseball Diamond,0,Square feet,100,44675.26751,kWh,0,Cubic meter,"1,966"
Starry Park,0,Square feet,100,390.309817,kWh,0,Cubic meter,17
Station #10,5005,Square feet,168,66199.49654,kWh,10888.48,Cubic meter,"23,492"
Station #11,3574,Square feet,168,36551.85891,kWh,12630.43051,Cubic meter,"25,480"
Station #12,1938,Square feet,168,35413.5346,kWh,379,Cubic meter,"2,275"
Station #13,2756,Square feet,168,28687.3939,kWh,8866.74875,Cubic meter,"18,020"
Station #14,4252,Square feet,168,55607.65355,kWh,4940.43125,Cubic meter,"11,784"
Station #18,1345,Square feet,168,60512.94471,kWh,14087.98815,Cubic meter,"29,289"
Station #21,2799,Square feet,168,40679.35982,kWh,10582.60625,Cubic meter,"21,791"
Station #22,2583,Square feet,168,40959.91086,kWh,4199.180147,Cubic meter,"9,739"
Station #24,2659,Square feet,168,24846.67409,kWh,6264.272576,Cubic meter,"12,933"
Station #28,1905,Square feet,168,44149.08732,kWh,11306.90479,Cubic meter,"23,313"
Station #30 & Garage & Office,16380,Square feet,168,216195.5138,kWh,52600.03573,Cubic meter,"108,927"
Station #31,2831,Square feet,168,41486.66049,kWh,5757.588236,Cubic meter,"12,707"
Station #32,3218,Square feet,168,22241.46901,kWh,4360.626186,Cubic meter,"9,220"
Station #33,3132,Square feet,168,32040.74981,kWh,5190.992647,Cubic meter,"11,221"
Station #34,13939,Square feet,168,60425.58968,kWh,31836.16155,Cubic meter,"62,829"
Station #37,4413,Square feet,168,45334.97775,kWh,6700.427894,Cubic meter,"14,659"
Station #38,5102,Square feet,168,85738.29909,kWh,17902.75449,Cubic meter,"37,609"
Station #39,1927,Square feet,168,40282.09361,kWh,0,Cubic meter,"1,772"
Station #40,12798,Square feet,168,176786.5106,kWh,16454.76732,Cubic meter,"38,878"
Station #41,1841,Square feet,168,106103.9727,kWh,15763.10256,Cubic meter,"34,461"
Station #42,6997,Square feet,168,138750.3374,kWh,13362.362,Cubic meter,"31,360"
Station #45,11496,Square feet,168,82481.22843,kWh,11049.50233,Cubic meter,"24,513"
Station #46,1572,Square feet,168,20245.64514,kWh,7819.898161,Cubic meter,"15,670"
Station #47,1787,Square feet,168,39809.08813,kWh,4213.296949,Cubic meter,"9,715"
Station #52,38760,Square feet,168,719010.5021,kWh,92612.15637,Cubic meter,"206,673"
Station #54,1324,Square feet,168,63823.893,kWh,16127.02078,Cubic meter,"33,288"
Steelcase Rd,0,Square feet,168,3276.051794,kWh,0,Cubic meter,144
Steeles,5005,Square feet,70,95478.34192,kWh,5377.128789,Cubic meter,"14,364"
Stephenson Park,0,Square feet,100,21636.81811,kWh,0,Cubic meter,952
Strachan Sewage Pumping Station,0,Square feet,168,210083.0997,kWh,6184.504202,Cubic meter,"20,932"
Strathburn Park,0,Square feet,100,5320.249402,kWh,0,Cubic meter,234
Streetlighting East York,0,Square feet,70,4591291.721,kWh,0,Cubic meter,"202,017"
Streetlighting Etobicoke,0,Square feet,70,18770788.08,kWh,0,Cubic meter,"825,915"
Streetlighting North York,0,Square feet,70,31384172.07,kWh,0,Cubic meter,"1,380,904"
Streetlighting Scarborough,0,Square feet,70,29074315.97,kWh,0,Cubic meter,"1,279,270"
Streetlighting Toronto,0,Square feet,70,29011832.29,kWh,0,Cubic meter,"1,276,521"
Streetlighting York,0,Square feet,70,4616660.394,kWh,0,Cubic meter,"203,133"
Sugar Beach Park,0,Square feet,100,22853.56885,kWh,0,Cubic meter,"1,006"
Summerlea Rink,0,Square feet,100,228890.623,kWh,0,Cubic meter,"10,071"
Sunnybrook Park,43701,Square feet,100,665346.9476,kWh,63187.59917,Cubic meter,"148,700"
Sunnybrook Stable,7535,Square feet,100,55804.49187,kWh,2381.798387,Cubic meter,"6,957"
Sunnydale Rink (outdoor),3509,Square feet,100,246708.0193,kWh,11159.94813,Cubic meter,"31,947"
Sunnyside Park,52033,Square feet,100,473545.174,kWh,82433.89684,Cubic meter,"176,636"
Sunnyside Sewage Pumping Station,0,Square feet,168,91519.01777,kWh,0,Cubic meter,"4,027"
Sunshine Center for Seniors,2250,Square feet,100,57322.41386,kWh,0,Cubic meter,"2,522"
Suydam Park,194,Square feet,100,3654.161322,kWh,0,Cubic meter,161
Swansea Sewage Pumping Station,527,Square feet,168,182274.8061,kWh,0,Cubic meter,"8,020"
Swansea Town Hall Comm Ctr,14402,Square feet,100,135392.2067,kWh,0,Cubic meter,"5,957"
Sweeney Park,0,Square feet,100,10408.94841,kWh,0,Cubic meter,458
Symington Park,0,Square feet,100,3362.582534,kWh,0,Cubic meter,148
Taddle Creek Park,0,Square feet,100,2020.365999,kWh,0,Cubic meter,89
Talbot Park Clubhouse,2820,Square feet,100,17381.62,kWh,0,Cubic meter,765
Tall Pines C.C,5188,Square feet,100,58377.74563,kWh,4868.212903,Cubic meter,"11,770"
Tam Heather C.C,28546,Square feet,100,889296.996,kWh,0,Cubic meter,"39,129"
Tam O'shanter Golf Course,4489,Square feet,100,144591.2276,kWh,16732.39382,Cubic meter,"37,986"
TAVIS - OSSG,16952,Square feet,168,274738.4057,kWh,22016.14571,Cubic meter,"53,699"
Taylor Creek Park,1690,Square feet,100,34112.14279,kWh,0,Cubic meter,"1,501"
Taylor Memorial,5005,Square feet,70,49258.35243,kWh,12345.49291,Cubic meter,"25,500"
Ted Reeve Arena,40601,Square feet,100,951137.5076,kWh,0,Cubic meter,"41,850"
Temp - St Lawrence Market North,0,Square feet,100,132354.2245,kWh,26149.57576,Cubic meter,"55,246"
The Elms Pool and Community School,13885,Square feet,100,425377.3072,kWh,72184.09987,Cubic meter,"155,145"
The Mission Ground,0,Square feet,100,2284.793568,kWh,0,Cubic meter,101
Thistletown C.C,44810,Square feet,100,376417.94,kWh,64393.52941,Cubic meter,"138,266"
Thomas Berry Childcare Centre,9117,Square feet,100,122672.3797,kWh,19375.68806,Cubic meter,"42,018"
Thomas Riley Park,0,Square feet,100,29660.26764,kWh,4596.637502,Cubic meter,"9,993"
Thomson Memorial Park,0,Square feet,100,193668.7242,kWh,5469.689376,Cubic meter,"18,859"
Thorncliffe,11034,Square feet,70,211006.2688,kWh,3012.146552,Cubic meter,"14,977"
Thornhill Pumping Station,1550,Square feet,168,345021.5965,kWh,0,Cubic meter,"15,181"
Three Valley Park,0,Square feet,100,9428.537315,kWh,0,Cubic meter,415
Time and Clock Monument,0,Square feet,100,18278.35954,kWh,0,Cubic meter,804
Todmorden Mills Butler Building,17707,Square feet,100,314018.5382,kWh,19241.04234,Cubic meter,"50,182"
Topham Park,0,Square feet,100,26467.69371,kWh,0,Cubic meter,"1,165"
Topham Park Clubhouse,3283,Square feet,100,24238.03034,kWh,7949.615535,Cubic meter,"16,091"
Toronto Centre for the Arts,177992,Square feet,100,1876432.039,kWh,172554.88,Cubic meter,"408,692"
Toronto Island Filtration Plant,0,Square feet,168,1663.048963,kWh,0,Cubic meter,73
Toronto Island Service Office,20968,Square feet,70,85504.37067,kWh,7182.263528,Cubic meter,"17,337"
Toronto Island Service Yard,34724,Square feet,70,29903.41581,kWh,0,Cubic meter,"1,316"
Toronto Island Street Lighting,0,Square feet,70,95087.95548,kWh,0,Cubic meter,"4,184"
Toronto Reference Library,416025,Square feet,70,8460722.129,kWh,395102.675,Cubic meter,"1,119,016"
Toronto Sculpture Garden,8773,Square feet,100,20070.34492,kWh,0,Cubic meter,883
Toronto Water Centre,64831,Square feet,70,3363796.359,kWh,224396.6465,Cubic meter,"572,117"
Toryork Office,42625,Square feet,168,744115.6382,kWh,127771.0695,Cubic meter,"274,228"
Totts Tot Lot,0,Square feet,100,69.425,kWh,0,Cubic meter,3
Tournament Park Tennis,1259,Square feet,100,10427.90461,kWh,0,Cubic meter,459
Trace Manes Clubhouse,6329,Square feet,100,92320.95768,kWh,19210.36187,Cubic meter,"40,370"
Traffic Control Signals,0,Square feet,168,14022.58387,kWh,0,Cubic meter,617
Traffic Services and Garage,297988,Square feet,168,2779372.742,kWh,412568.8972,Cubic meter,"902,048"
Train Storage Building,30849,Square feet,70,188621.7,kWh,37047.91352,Cubic meter,"78,320"
Trinity Bellwoods Outdoor Rink,1001,Square feet,100,183796.3948,kWh,741.259323,Cubic meter,"9,488"
Trinity Bellwoods Park,42830,Square feet,100,58095.99358,kWh,5494.126034,Cubic meter,"12,940"
Trinity Comm Rec Ctr,36909,Square feet,100,714065.4419,kWh,189162.1535,Cubic meter,"388,935"
Trinity Square Park,0,Square feet,100,61368.49953,kWh,0,Cubic meter,"2,700"
True Davidson Acres,130082,Square feet,168,2528742.255,kWh,346950.6053,Cubic meter,"767,001"
Trumpeter Park,0,Square feet,100,1424.758649,kWh,0,Cubic meter,63
TW Various Locations,0,Square feet,168,90363.05102,kWh,0,Cubic meter,"3,976"
Ukranian Canadian Memorial Park,0,Square feet,100,22156.93693,kWh,0,Cubic meter,975
Underpass Park,0,Square feet,100,7176.736828,kWh,0,Cubic meter,316
Union Station,765564,Square feet,168,13180893.12,kWh,337088.4113,Cubic meter,"3,506,489"
University Avenue Islands,0,Square feet,100,16841.07265,kWh,0,Cubic meter,741
University Settlement House R.C,47566,Square feet,100,645557.9703,kWh,142796.3092,Cubic meter,"298,290"
Unknown,0,Square feet,168,289779.9517,kWh,0,Cubic meter,"12,750"
Valleyfield Rink (outdoor),0,Square feet,100,144194.7809,kWh,0,Cubic meter,"6,345"
Various TPA Locations Etobicoke,0,Square feet,168,164470.9513,kWh,0,Cubic meter,"7,237"
Vermont Square Park,0,Square feet,100,5255.736963,kWh,0,Cubic meter,231
Victoria Park Transfer Station,83959,Square feet,70,999482.1921,kWh,113090.8554,Cubic meter,"257,719"
Victoria Village,5382,Square feet,70,65047.90696,kWh,8734.694854,Cubic meter,"19,371"
Victoria Village Arena,33637,Square feet,100,813845.8994,kWh,70395.91909,Cubic meter,"168,858"
