Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Albion Comm Ctr & Pool,20688,Square feet,100,485652.9326,kWh,142466.8067,Cubic meter,"290,631"
Albion Gardens,0,Square feet,100,4554.44411,kWh,0,Cubic meter,200
Albion Road Childcare Centre,5543,Square feet,100,57147.73718,kWh,16160.93132,Cubic meter,"33,059"
Aldwych Park,0,Square feet,100,35758.35233,kWh,0,Cubic meter,"1,573"
Alex Duff Pool,0,Square feet,100,452648.8332,kWh,22026.12299,Cubic meter,"61,546"
Alexander Muir Park Gardens,0,Square feet,100,26412.8137,kWh,1928.119385,Cubic meter,"4,806"
Alexandra Park,22873,Square feet,100,376087.4227,kWh,25329.261,Cubic meter,"64,420"
Algonguin Island Sewage Pumping Station,75,Square feet,168,12070.28262,kWh,0,Cubic meter,531
Allan Gardens,25177,Square feet,168,224893.737,kWh,131891.4783,Cubic meter,"259,170"
Allen Road,0,Square feet,70,594407.0579,kWh,0,Cubic meter,"26,154"
Alness Service Yard,25715,Square feet,70,172248.3383,kWh,33409.47925,Cubic meter,"70,723"
Ambulance Headquarters,143494,Square feet,168,3835041.013,kWh,249446.5195,Cubic meter,"640,196"
Amesbury Arena,26942,Square feet,100,738951.823,kWh,98642.4029,Cubic meter,"218,948"
Amesbury Community Center,37975,Square feet,100,279705.4208,kWh,34050.17046,Cubic meter,"76,662"
Amesbury Park,0,Square feet,100,22919.53958,kWh,0,Cubic meter,"1,008"
Amesbury Park Library,6318,Square feet,70,130441.5461,kWh,7972.662,Cubic meter,"20,808"
Amos Waites Park,1356,Square feet,100,73596.79949,kWh,5932.363635,Cubic meter,"14,450"
Ancaster C.C.,7513,Square feet,100,107663.3982,kWh,21894.69857,Cubic meter,"46,118"
Ancaster Childcare Centre,7018,Square feet,100,143747.0366,kWh,11215.66606,Cubic meter,"27,522"
Annette R.C,20774,Square feet,100,381560.5815,kWh,0,Cubic meter,"16,789"
Annette Street,7804,Square feet,70,166817.2258,kWh,7846.11828,Cubic meter,"22,169"
Anniversary Park,0,Square feet,100,3419.561419,kWh,0,Cubic meter,150
Anthony Road School Park,0,Square feet,100,540.728648,kWh,0,Cubic meter,24
Antibes Park,18492,Square feet,100,423786.5443,kWh,55878.1786,Cubic meter,"124,256"
Archives and Records Centre,39590,Square feet,70,524189.8923,kWh,42355.72144,Cubic meter,"103,117"
Armour Height C.C,19773,Square feet,100,204763.0415,kWh,26571.94008,Cubic meter,"59,231"
Armour Heights Pumping Station,5780,Square feet,168,2921300.915,kWh,0,Cubic meter,"128,537"
Art Eggleton Park,0,Square feet,100,1268.029728,kWh,0,Cubic meter,56
Ashbridges Bay Park,721,Square feet,100,51146.26179,kWh,0,Cubic meter,"2,250"
Ashtonbee Reservoir Park,0,Square feet,100,4055.213185,kWh,0,Cubic meter,178
Asquith Green Social Housing,6329,Square feet,168,106596.2664,kWh,9902.652405,Cubic meter,"23,406"
Assessment & Referral Ctr (129 Peter),11780,Square feet,168,250164.1023,kWh,22362.25967,Cubic meter,"53,272"
Atlantic Ave Storage Bldg,43002,Square feet,70,106317.0581,kWh,29302.95338,Cubic meter,"60,061"
Avondale Park,0,Square feet,100,3492.111115,kWh,0,Cubic meter,154
Avonshire Park,0,Square feet,100,5223.5055,kWh,0,Cubic meter,230
Avonshire Parkette,0,Square feet,100,596.062853,kWh,0,Cubic meter,26
Baby Point Sewage Pumping Station,0,Square feet,168,54609.79552,kWh,0,Cubic meter,"2,403"
Baird Park W.Pool,1970,Square feet,100,16277.73656,kWh,5200.110417,Cubic meter,"10,544"
Banbury C.C.,9537,Square feet,100,115643.6223,kWh,13163.23487,Cubic meter,"29,967"
Barbara Frum,44319,Square feet,70,940903.398,kWh,41821.16882,Cubic meter,"120,442"
Barbara Hall Park,0,Square feet,100,4569.5884,kWh,0,Cubic meter,201
Bartonville Park,3606,Square feet,70,32737.87751,kWh,12165.12148,Cubic meter,"24,433"
Bathurst St,0,Square feet,168,6522.987998,kWh,0,Cubic meter,287
Bathurst-Wilson Parkette,0,Square feet,100,347.197011,kWh,0,Cubic meter,15
Baycrest Arena,27060,Square feet,100,561611.376,kWh,63060.99706,Cubic meter,"143,896"
Bayview,6340,Square feet,70,129895.0576,kWh,0,Cubic meter,"5,715"
Bayview Arena,28417,Square feet,100,550886.085,kWh,53396.9292,Cubic meter,"125,159"
Bayview Pumping Station,0,Square feet,168,373.465,kWh,1785.258065,Cubic meter,"3,391"
BAYVIEW RESERVOIR CARD,0,Square feet,168,50467.55065,kWh,0,Cubic meter,"2,221"
Beaches,7804,Square feet,70,134797.0406,kWh,10111.87424,Cubic meter,"25,043"
Beaches Park Wading Pool,0,Square feet,100,2.0752,kWh,0,Cubic meter,0
Beaches R.C,14445,Square feet,100,186269.6918,kWh,0,Cubic meter,"8,196"
Beare Road Landfill,5942,Square feet,70,105396.6507,kWh,0,Cubic meter,"4,637"
Beaty Ave Parkette,0,Square feet,100,2284.794212,kWh,0,Cubic meter,101
Beaty Parkette,0,Square feet,100,6386.597423,kWh,0,Cubic meter,281
Beaumonde Heights Park,0,Square feet,100,790.927252,kWh,0,Cubic meter,35
Beecroft Parking Lot,120297,Square feet,168,711287.6453,kWh,1444.941176,Cubic meter,"34,028"
Bellbury A.I.R,2303,Square feet,100,44861.21244,kWh,0,Cubic meter,"1,974"
